business_name,email_subject,email_body,live_url,sent_at
McFarland Automotive,I built McFarland Automotive a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://mcfarland-automotive.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://mcfarland-automotive.netlify.app,
All-Tec Auto Repair,I built All-Tec Auto Repair a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://all-tec-auto-repair.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://all-tec-auto-repair.netlify.app,
Master Tech Auto Services,I built Master Tech Auto Services a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://master-tech-auto-services.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://master-tech-auto-services.netlify.app,
Master AutoTech,I built Master AutoTech a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://master-autotech.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://master-autotech.netlify.app,2026-04-11T07:30:29.551Z
Roy's Auto Service,I built Roy's Auto Service a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://roy-s-auto-service.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://roy-s-auto-service.netlify.app,
Master AutoTech,I built Master AutoTech a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://master-autotech.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://master-autotech.netlify.app,2026-04-11T07:30:30.601Z
Sav-Mor Auto Clinic Inc,I built Sav-Mor Auto Clinic Inc a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://sav-mor-auto-clinic-inc.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://sav-mor-auto-clinic-inc.netlify.app,
"John's Heating, Cooling, and Plumbing","I built John's Heating, Cooling, and Plumbing a website","I was searching for a plumber in Mesa and your name came up, but there was no website.||So I built one for you.||||Take a look: https://john-s-heating-cooling-and-plumbing.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://john-s-heating-cooling-and-plumbing.netlify.app,
Semper Fi Heating and Cooling,I built Semper Fi Heating and Cooling a website,"I was searching for a plumber in Mesa and your name came up, but there was no website.||So I built one for you.||||Take a look: https://semper-fi-heating-and-cooling.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://semper-fi-heating-and-cooling.netlify.app,
Arizona's Dukes of Air & Plumbing,I built Arizona's Dukes of Air & Plumbing a website,"Homeowners in Mesa spend weeks researching contractors before making a single call.||So I built one for you.||||Take a look: https://arizona-s-dukes-of-air-plumbing.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://arizona-s-dukes-of-air-plumbing.netlify.app,
"Air Care Cooling, Heating and Plumbing","I built Air Care Cooling, Heating and Plumbing a website","I was searching for a plumber in Mesa and your name came up, but there was no website.||So I built one for you.||||Take a look: https://air-care-cooling-heating-and-plumbing.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://air-care-cooling-heating-and-plumbing.netlify.app,
Comfort Experts,I built Comfort Experts a website,"Homeowners in Mesa spend weeks researching contractors before making a single call.||So I built one for you.||||Take a look: https://comfort-experts.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://comfort-experts.netlify.app,
Rusty's Air Conditioning And Heating,I built Rusty's Air Conditioning And Heating a website,"Most people check online before they call a local business.||So I built one for you.||||Take a look: https://rusty-s-air-conditioning-and-heating.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://rusty-s-air-conditioning-and-heating.netlify.app,
Parker & Sons,I built Parker & Sons a website,"Homeowners in Phoenix spend weeks researching contractors before making a single call.||So I built one for you.||||Take a look: https://parker-sons.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://parker-sons.netlify.app,
Norris Air,I built Norris Air a website,"Homeowners in Mesa spend weeks researching contractors before making a single call.||So I built one for you.||||Take a look: https://norris-air.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://norris-air.netlify.app,
Hansen Family Plumbing & Air,I built Hansen Family Plumbing & Air a website,"I was searching for a plumber in Mesa and your name came up, but there was no website.||So I built one for you.||||Take a look: https://hansen-family-plumbing-air.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://hansen-family-plumbing-air.netlify.app,
PlumbSmart Plumbing Heating and Air,I built PlumbSmart Plumbing Heating and Air a website,"I was searching for a plumber in Mesa and your name came up, but there was no website.||So I built one for you.||||Take a look: https://plumbsmart-plumbing-heating-and-air.netlify.app||||If you want to keep it live, it's $99/month. I handle everything. Cancel anytime.||||I'll keep it up for 7 days. After that it comes down.||||Landon",https://plumbsmart-plumbing-heating-and-air.netlify.app,
